"詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",,
經費,jīngfèi ,N,,
經過,jīngguò ,N / Prep,,
驚訝,jīngyà  ,Vs,,
經驗,jīngyàn ,Vpt,,
警察,jĭngchá ,N,,
儘管,jĭnguăn ,Conj,,
進行,jìnxíng ,V,,
進一步,jìnyībù  ,Adv,,
酒吧,jiŭbā ,N,,
救,jiù ,V,,
就,jiù ,Prep,,
就是,jiùshì ,Conj,,
就算,jiùsuàn ,Conj,,
舅舅(˙ㄐㄧㄡ) /舅,jiùjiu ,N,,
舅媽,jiùmā,N,,
居住,jūzhù ,Vi,,
舉,jŭ,V,,
舉辦,jŭbàn ,V,,
舉手,jŭshŏu,V-sep,,
舉行,jŭxíng ,V,,
聚,jù ,Vi,,
距,jù ,Prep,,
拒絕,jùjué ,V,,
距離,jùlí ,N,,
劇本,jùběn ,N,,
劇情,jùqíng ,N,,
具有,jùyŏu ,Vst,,
絕對,juéduì ,Adv,,
角色,juésè,N,,
軍隊,jūnduì ,N,,
軍人,jūnrén ,N,,
卡車,kăchē ,N,,
開放,kāifàng ,V,,
開花,kāihuā ,Vp-sep,,
開朗,kāilăng ,Vs,,
開始,kāishĭ,N,,
看不起,kànbùqĭ,Vst,,
棵,kē,M,,
科,kē ,M,,
科技,kējì ,N,,
科學,kēxué ,Vs / N,,
可,kě ,Adv / Vaux,,
可靠,kěkào ,Vs,,
可憐,kělián ,Vs,,
渴望,kěwàng ,Vst,,
可惡,kěwù ,Vs,,
可以,kěyĭ,Vaux,,
刻,kè,M / V,,
克,kè ,M,,
課程,kèchéng ,N,,
課堂,kètáng ,N,,
課文,kèwén,N,,
克服,kèfú ,Vpt,,
肯,kěn ,Vaux,,
肯定,kěndìng ,Vs,,
空間,kōngjiān ,N,,
空軍,kōngjūn ,N,,
恐怕,kŏngpà ,Adv,,
口,kŏu ,N,,
口味,kŏuwèi  ,N,,
快,kuài,Adv,,
寬,kuān ,Vs,,
況且,kuàngqiě ,Conj,,
誇張,kuāzhāng ,Vs,,
擴大,kuòdà ,V,,
拉肚子,lādùzi ,V-sep,,
來,lái ,Adv / Ptc,,
來不及,láibùjí ,Vs,,
來得及,láidejí  ,Vs,,
藍,lán ,Vs,,
浪漫,làngmàn ,Vs,,
老公,lăogōng ,N,,
老虎/虎,lăohŭ/hŭ ,N,,
老婆,lăopó,N,,
老實,lăoshí,Vs,,
老是,lăoshì ,Adv,,
樂,lè ,Vs,,
樂觀,lèguān ,Vs,,
樂趣,lèqù ,N,,
淚,lèi ,N,,
冷淡,lěngdàn ,Vs,,
力,lì ,N,,
里,lĭ,M,,
練,liàn ,V,,
戀愛,liànài ,Vp,,
亮,liàng,Vs,,
良好,liánghăo ,Vs,,
連絡/聯絡,liánluò ,V,,
連續劇,liánxùjù ,N,,
了不起,liăobùqĭ,Vs,,
離婚,líhūn ,Vp-sep,,
裡邊,lĭbiān,N,,
厲害,lìhài,Vs,,
理解,lĭjiě ,Vst,,
理論,lĭlùn ,N,,
禮堂,lĭtáng ,N,,
力量,lìliàng ,N,,
領,lĭng ,V,,
領導,lĭngdăo ,V,,
靈魂,línghún ,N,,
領域,lĭngyù ,N,,
令,lìng ,Vst,,
留言,liú,Vi,,
流血,liúxiě ,V-sep,,
留學,liúxué ,Vi,,
留學生,liúxuéshēng ,N,,
理想,lĭxiăng ,N / Vs,,
利益,lìyì ,N,,
旅客,lǚkè ,N,,
旅遊,lǚyóu ,Vi / N,,
綠,lǜ,Vs,,
律師,lǜshī ,N,,
錄,lù ,V,,
錄取,lùqŭ  ,V,,
錄音,lùyīn ,V-sep,,
露營,lùyíng  ,V-sep,,
龍,lóng ,N,,
輪胎,lúntāi ,N,,
嘛,ma ,Ptc,,
麻煩,máfán,Vs,,
罵,mà ,V,,
滿,măn ,Det / Vs,,
滿意,mănyì ,Vst,,
滿足,mănzú  ,Vs,,
慢慢,mànmàn,,,
慢用,mànyòng ,Vi,,
毛,máo ,N,,
毛筆,máobĭ ,N,,
毛病,máobìng ,N,,
貿易,màoyì ,N,,
馬桶,mătŏng ,N,,
碼頭,mătou ,N,,
螞蟻,măyĭ,N,,
沒,méi,Ptc / Vp,,
每,měi ,Adv,,
玫瑰,méiguī,N,,
美好,měihăo ,Vs,,
沒什麼,méishénme ,Vs,,
門,mén ,M,,
迷人,mírén ,Vs,,
密切,mìqiè ,Vs,,
面,miàn ,M / N,,
免費,miănfèi ,Vs,,
面積,miànjī ,N,,
面前,miànqián ,N,,
麵條,miàntiáo ,N,,
秒,miăo ,M,,
描寫,miáoxiě ,V,,
廟,miào ,N,,
米飯,mĭfàn ,N,,
米粉,mĭfěn ,N,,
迷路,mílù ,Vp-sep,,
秘密/祕密,mìmì ,N,,
明白,míngbái ,Vpt,,
名詞,míngcí ,N,,
民國,mínguó ,N,,
明顯,míngxiăn ,Vs,,
明星,míngxīng ,N,,
命,mìng ,N,,
民族,mínzú ,N,,
陌生,mòshēng ,Vs,,
摸,mō ,V,,
某,mŏu,Det,,
木,mù ,N,,
目前,mùqián ,N,,
木頭,mùtou,N,,
那,nà,Conj,,
那麼,nàme,Conj,,
奶,năi ,N,,
耐心,nàixīn ,N,,
南方,nánfāng ,N,,
難怪,nánguài ,Adv,,
難看,nánkàn ,Vs,,
腦,năo ,N,,
腦(子),năo(zi) ,N,,
拿手,náshŏu ,Vs,,
哪些,năxiē ,Det,,
內容,nèiróng ,N,,
能夠,nénggòu ,Vaux,,
年,nián ,N,,
年代,niándài ,N,,
年齡,niánlíng ,N,,
年年,niánnián ,Adv,,
牛仔褲,niúzăikù ,N,,
農業,nóngyè  ,N,,
女士,nǚshì ,N,,
喔,ō ,Ptc,,
哦,ó ,Ptc,,
排,pái ,V,,
牌(子),pái(zi),N,,
盼望,pànwàng ,Vst,,
培養,péiyăng ,V,,
配,pèi ,V,,
配合,pèihé ,V,,
碰,pèng ,V,,
碰到,pèngdào ,Vpt,,
碰上,pèngshàng ,Vpt,,
批評,pīpíng ,V,,
皮,pí ,N,,
皮帶,pídài ,N,,
皮膚,pífū ,N,,
篇,piān ,M,,
騙子,piànzi ,N,,
坪,píng ,M,,
平,píng ,Vs,,
平安,píngān ,Vs,,
平等,píngděng ,Vs,,
平時,píngshí ,N,,
平原,píngyuán ,N,,
品質,pĭnzhí ,N,,
破壞,pòhuài ,V,,
普遍,pŭbiàn ,Vs,,
期,qí,M,,
起,qĭ,N / V,,
氣,qì ,N / Det,,
鉛筆,qiānbĭ,N,,
簽名,qiānmíng ,V-sep,,
謙虛,qiānxū ,Vs,,
前,qián ,N / Det,,
強盜,qiángdào ,N,,
強調,qiángdiào ,V,,
搶,qiăng ,V,,
橋,qiáo ,N,,
欺負,qīfù ,V,,
其次,qícì ,Conj,,
期間,qíjiān ,N,,
起飛,qĭfēi ,Vp,,
起來,qĭlái ,Ptc,,
親,qīn,V,,
親切,qīnqiè,Vs,,
親手,qīnshŏu  ,Adv,,
親眼,qīnyăn ,Adv,,
親自,qīnzì ,Adv,,
清,qīng ,Vs-pred,,
青年,qīngnián ,N,,
青少年,qīngshàonián  ,N,,
晴,qíng ,Vs-pred,,
情,qíng ,N,,
情況,qĭngjià ,N,,
情人,qíngrén  ,N,,
請假,qĭngjià,V,,
請教,qĭngjiào,V,,
請求,qĭngqiú ,V,,
慶祝,qìngzhù ,V,,
窮,qióng ,Vs,,
求,qiú ,V,,
球場,qiúchăng ,N,,
球賽,qiúsài ,N,,
球員,qiúyuán ,N,,
氣溫,qìwēn ,N,,
企業,qìyè ,N,,
去,qù ,Adv / Ptc,,
去世,qùshì ,Vp,,
全,quán ,Det,,
全球,quánqiú ,N,,
全身,quánshēn ,N,,
取代,qŭdài ,V,,
缺點,quēdiăn ,N,,
卻,què ,Adv,,
確定,quèdìng ,Vs,,
確認,quèrèn ,V,,
讓,ràng,V,,
忍,rěn ,Vs,,
認,rèn ,V,,
認得,rènde ,Vst,,
扔,rēng ,Vpt,,
仍,réng ,Adv,,
仍然,réngrán ,Adv,,
人家,rénjiā ,N,,
人間,rénjiān ,N,,
人口,rénkŏu ,N,,
人類,rénlèi ,N,,
人們,rénmen ,N,,
人民,rénmín ,N,,
人人,rénrén ,N,,
人數,rénshù ,N,,
人物,rénwù ,N,,
忍耐,rěnnài ,Vst,,
任務,rènwù ,N,,
熱水,rèshuĭ,N,,
日出,rìchū ,Vi,,
日期,rìqí ,N,,
如,rú ,Conj / Prep,,
如此,rúcĭ,Vs,,
如下,rúxià ,Vs,,
如意,rúyì ,Vs,,
弱,ruò ,Vs,,
森林,sēnlín ,N,,
失戀,shīliàn ,Vp,,
失去,shīqù ,Vpt,,
獅(子),shī(zi) ,N,,
時代,shídài ,N,,
十分,shífēn ,Adv,,
實話,shíhuà ,N,,
實際,shíjì ,Vs,,
時刻,shíkè ,N,,
實力,shílì ,N,,
石頭(˙ㄊㄡ) /石,shítou/shí,N,,
實行,shíxíng ,V,,
石油,shíyóu ,N,,
實在,shízài ,Vs,,
使得,shĭde ,Vst,,
使用,shĭyòng ,V,,
事業,shìyè ,N,,
事實,shìshí ,N,,
適應,shìyìng ,Vst,,
市長,shìzhăng ,N,,
殺,shā ,V,,
晒,shài ,V,,
傷害,shānghài ,V,,
商品,shāngpĭn ,N,,
商業,shāngyè ,N,,
上,shàng ,Det,,
上當,shàngdàng ,Vp,,
上帝,shàngdì ,N,,
上街,shàngjiē ,Vi,,
山區,shānqū ,N,,
燒,shāo ,V,,
少,shăo ,Adv,,
蛇,shé ,N,,
設備,shèbèi ,N,,
設計,shèjì ,N / V,,
升,shēng ,V,,
聲,shēng ,M,,
生,shēng ,V,,
生產,shēngchăn ,V,,
聲調,shēngdiào ,N,,
生動,shēngdòng ,Vs,,
生活,shēnghuó,Vi,,
生命,shēngmìng ,N,,
生字,shēngzì ,N,,
深入,shēnrù ,Vs,,
身上,shēnshàng ,N,,
省,shěng ,Vst,,
省錢,shěngqián ,Vs-sep,,
剩,shèng ,Vst,,
剩下,shèngxià,Vpt,,
甚至,shènzhì ,Adv,,
收穫,shōuhuò ,N,,
收音機,shōuyīnjī ,N,,
熟悉,shoúxī ,Vst,,
手續,shŏuxù  ,N,,
首,shŏu,M,,
受得了,shòudeliao  ,Vst,,
受傷,shòushāng  ,Vp-sep,,
輸,shū ,Vp,,
蔬菜,shūcài ,N,,
舒適,shūshì ,Vs,,
數,shŭ,V,,
數字,shùzì ,N,,
雙,shuāng ,Vs-attr,,
刷牙,shuāyá,V-sep,,
水餃,shuĭjiăo ,N,,
水平,shuĭpíng ,N,,
睡著,shuìzháo ,Vp,,
水準,shuĭzhŭn ,N,,
樹木,shùmù ,N,,
順便,shùnbiàn ,Adv,,
順利,shùnlì ,Vs,,
說法,shuōfă ,N,,
說明,shuōmíng ,N / V,,
說起來,shuōqĭlái ,Adv,,
思考,sīkăo ,V,,
思想,sīxiăng ,N,,
似乎/似,sìhū/sì  ,Adv,,
寺廟,sìmiào ,N,,
算了,suànle ,Vs,,
隨便,suíbiàn,Vs,,
隨時,suíshí ,Adv,,
所,suŏ ,M / Ptc,,
所謂,suŏwèi  ,Vs-attr,,
抬,tái ,V,,
態度,tàidù ,N,,
堂,táng,N / M,,
躺,tăng ,V,,
談話,tánhuà ,V-sep,,
討厭,tăoyàn,Vst,,
特地,tèdì ,Adv,,
特色,tèsè ,N,,
特殊,tèshū ,Vs,,
田,tián ,N,,
填,tián ,V,,
天堂,tiāntáng ,N,,
天天,tiāntiān,Adv,,
天下,tiānxià ,N,,
條件,tiáojiàn ,N,,
挑戰,tiăozhàn ,V,,
題材,tícái ,N,,
提到,tídào ,Vpt,,
提高,tígāo ,V,,
提供,tígōng ,V,,
體會,tĭhuì ,Vst,,
體力,tĭlì ,N,,
體貼,tĭtiē ,Vst,,
體重,tĭzhòng ,N,,
貼,tiē ,V,,
鐵,tiě ,N,,
鐵路,tiělù ,N,,
聽力,tīnglì ,N,,
聽起來,tīngqĭlái ,Adv,,
聽眾,tīngzhòng ,N,,
挺,tĭng ,Adv,,
通,tōng ,Vs-pred,,
通過,tōngguò ,Vpt,,
通知,tōngzhī ,V / N,,
同,tóng ,Det / Prep,,
同情,tóngqíng  ,Vst,,
同事,tóngshì  ,N,,
痛苦,tòngkŭ,Vs,,
頭,tóu ,Det,,
投,tóu ,V,,
投資,tóuzī  ,V,,
土,tŭ,N,,
團體,tuántĭ,N,,
團圓,tuányuán ,Vs,,
土地,tŭdì ,N,,
推,tuī,V,,
推薦,tuījiàn ,V,,
推銷,tuīxiāo ,V,,
退步,tuìbù ,Vp,,
退休,tuìxiū ,Vp,,
突然,túrán  ,Adv,,
兔(子),tù(zi) ,N,,
外邊,wàibiān ,N,,
外文,wàiwén ,N,,
外語,wàiyŭ,N,,
外祖父,wàizŭfù ,N,,
外祖母,wàizŭmŭ ,N,,
完成,wánchéng ,Vpt,,
玩具,wánjù ,N,,
晚,wăn ,Vs,,
萬一,wànyī ,Adv,,
網,wăng ,N,,
往往,wăngwăng  ,Adv,,
娃娃(˙ㄨㄚ),wáwa ,N,,
維持,wéichí ,V,,
微笑,wéixiào ,Vi,,
偉大,wěidà ,Vs,,
為,wèi ,Prep,,
未來,wèilái ,N,,
位置,wèizhì ,N,,
溫度,wēndù ,N,,
溫暖,wēnnuăn ,Vs,,
溫柔,wēnróu ,Vs,,
文件,wénjiàn ,N,,
文學,wénxué ,N,,
文章/文,wénzhāng/wén  ,N,,
文字,wénzì ,N,,
穩定,wěndìng ,Vs,,
問好,wènhăo ,Vi,,
問候,wènhòu ,V,,
握手,wòshŏu ,V-sep,,
無,wú ,Vs-attr,,
無法,wúfă ,Adv,,
無論如何,wúlùnrúhé ,Conj,,
無窮,wúqióng ,Vs,,
無所謂,wúsuŏwèi ,Vs,,
誤會,wùhuì ,N,,
物價,wùjià ,N,,
西北,xīběi ,N,,
西餐,xīcān ,N,,
西方,xīfāng ,N,,
西南,xīnán ,N,,
吸毒,xīdú ,V-sep,,
犧牲,xīshēng ,Vpt,,
吸收,xīshōu ,V,,
希望,xīwàng ,N,,
吸引,xīyĭn ,Vst,,
喜愛,xĭài ,Vst,,
細,xì ,Vs,,
細心,xìxīn  ,Vs,,
