"任務領域
Context","詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",
房屋與家庭、環境,家具,jiājù ,N,
房屋與家庭、環境,沙發,shāfā ,N,
房屋與家庭、環境,盒/盒(子),hé/hézi,M / N,
房屋與家庭、環境,關,guān ,V,
房屋與家庭、環境,燈,dēng ,N,
房屋與家庭、環境,冷氣(機),lěngqì(jī) ,N,
房屋與家庭、環境,冰箱,bīngxiāng ,N,
房屋與家庭、環境,台,tái ,M,
房屋與家庭、環境,電,diàn ,N,
房屋與家庭、環境,乾淨,gānjìng ,Vs,
房屋與家庭、環境,房租,fángzū ,N,
房屋與家庭、環境,租,zū ,V,
房屋與家庭、環境,世界,shìjiè ,N,
房屋與家庭、環境,火,huŏ ,N,
房屋與家庭、環境,雪,xuě ,N,
房屋與家庭、環境,下雪,xiàxuě ,V-sep,
房屋與家庭、環境,地,dì ,N,
房屋與家庭、環境,河,hé ,N,
房屋與家庭、環境,湖,hú ,N,
房屋與家庭、環境,馬,mă ,N,
房屋與家庭、環境,鳥,niăo,N,
房屋與家庭、環境,貓,māo ,N,
房屋與家庭、環境,狗,gŏu ,N,
房屋與家庭、環境,海,hăi ,N,
房屋與家庭、環境,草,căo ,N,
房屋與家庭、環境,樹,shù ,N,
房屋與家庭、環境,隻,zhī ,M,
房屋與家庭、環境,長,zhăng,Vs,
房屋與家庭、環境,太陽,tàiyáng ,N,
日常生活,洗,xĭ,V,
日常生活,洗澡,xĭzăo ,V-sep,
日常生活,有空/有空兒,yŏukòng/yŏukòngr,Vs,
日常生活,發現,fāxiàn ,Vp / N,
日常生活,餐,cān ,N,
日常生活,搬,bān ,V,
日常生活,掛,guà ,V,
日常生活,脫,tuō ,V,
閒暇時間、娛樂,過年,guònián ,Vi,
閒暇時間、娛樂,新年,xīnnián ,N,
閒暇時間、娛樂,游泳,yóuyŏng ,V-sep,
閒暇時間、娛樂,跑/跑步,păo/păobù ,Vi,
閒暇時間、娛樂,踢,tī ,V,
閒暇時間、娛樂,足球,zúqiú ,N,
閒暇時間、娛樂,籃球,lánqiú ,N,
閒暇時間、娛樂,網球,wăngqiú ,N,
閒暇時間、娛樂,棒球,bàngqiú ,N,
閒暇時間、娛樂,比賽,bĭsài ,Vi / N,
閒暇時間、娛樂,開始,kāishĭ,Vp,
閒暇時間、娛樂,騎,qí ,V,
閒暇時間、娛樂,腳踏車/自行車,jiăotàchē/zìxíngchē ,N,
閒暇時間、娛樂,上網,shàngwăng ,V-sep,
閒暇時間、娛樂,網路,wănglù ,N,
閒暇時間、娛樂,網站,wăngzhàn ,N,
閒暇時間、娛樂,報紙,bàozhĭ,N,
閒暇時間、娛樂,次,cì ,M,
閒暇時間、娛樂,電影院,diànyĭngyuàn ,N,
閒暇時間、娛樂,部,bù ,M,
閒暇時間、娛樂,場,chăng ,M,
閒暇時間、娛樂,音樂,yīnyuè ,N,
閒暇時間、娛樂,票,piào ,N,
閒暇時間、娛樂,活動,huódòng ,N,
閒暇時間、娛樂,故事(˙ㄕ),gùshi,N,
閒暇時間、娛樂,聊天/聊天兒,liáotiān/liáotiānr,V-sep,
閒暇時間、娛樂,有時候(˙ㄏㄡ)/有時,yŏushíhou/yŏushí ,Adv,
閒暇時間、娛樂,平常,píngcháng ,N,
閒暇時間、娛樂,總是,zŏngshì ,Adv,
閒暇時間、娛樂,已經,yĭjīng ,Adv,
閒暇時間、娛樂,後來,hòulái ,N,
閒暇時間、娛樂,各,gè ,Det,
閒暇時間、娛樂,變,biàn ,V,
閒暇時間、娛樂,才,cái ,Adv,
與他人的關係,客人,kèrén ,N,
與他人的關係,客氣(˙ㄑㄧ),kèqi,Vs,
與他人的關係,不客氣,bùkèqì ,,
與他人的關係,不好意思,bùhăoyìsi ,,
與他人的關係,喂(ㄨㄟˊ),wéi,Ptc,
與他人的關係,喂,wèi,Ptc,
與他人的關係,麻煩(˙ㄈㄢ),máfan ,N,
與他人的關係,禮物,lĭwù ,N,
與他人的關係,歡迎,huānyíng ,Vst,
與他人的關係,寄,jì ,V,
與他人的關係,接,jiē ,V,
與他人的關係,郵局,yóujú ,N,
與他人的關係,銀行,yínháng ,N,
與他人的關係,壞,huài ,Vp,
與他人的關係,幫忙,bāngmáng ,V-sep,
與他人的關係,幫助,bāngzhù ,V,
與他人的關係,小朋友,xiăopéngyŏu ,N,
與他人的關係,信,xìn ,N,
與他人的關係,信封,xìnfēng ,N,
與他人的關係,認識,rènshì,Vpt,
與他人的關係,最近,zuìjìn ,Adv,
與他人的關係,聽說,tīngshuō ,V,
與他人的關係,見面,jiànmiàn ,V-sep,
與他人的關係,事情,shìqíng ,N,
與他人的關係,幫,bāng ,V,
與他人的關係,錢包,qiánbāo ,N,
與他人的關係,拉,lā ,V,
與他人的關係,啊,ā ,Ptc,
與他人的關係,怎麼辦,zěnmebàn ,,
旅行,車站,chēzhàn ,N,
旅行,汽車,qìchē ,N,
旅行,飛機場/機場,fēijīchăng/jīchăng ,N,
旅行,馬路,mălù ,N,
旅行,路口,lùkŏu ,N,
旅行,十字路口,shízìlùkŏu ,N,
旅行,對面,duìmiàn ,N,
旅行,旅行,lǚxíng ,Vi / N,
旅行,飯店,fàndiàn ,N,
旅行,旅館,lǚguăn ,N,
旅行,袋子,dàizi ,N,
旅行,參觀,cānguān ,V,
旅行,地圖,dìtú ,N,
旅行,照相機/相機,zhàoxiàngjī/xiàngjī,N,
旅行,照相,zhàoxiàng ,V-sep,
旅行,照片/相片/相片兒,zhàopiàn/xiàngpiàn/xiàngpiànr,N,
旅行,風景,fēngjĭng ,N,
旅行,南/南部,nán/nánbù ,N,
旅行,西/西部,xī/ xībù ,N,
旅行,北/北部,běi/běibù ,N,
旅行,東/東部,dōng/dōngbù,N,
旅行,中間,zhōngjiān ,N,
旅行,離,lí ,Prep,
旅行,離開,líkāi ,Vp,
旅行,經過,jīngguò ,V,
旅行,往,wăng ,Prep,
旅行,送,sòng ,V,
旅行,放,fàng ,V,
旅行,近,jìn ,Vs,
旅行,遠,yuăn ,Vs,
旅行,向,xiàng ,Prep,
旅行,轉,zhuăn ,V,
旅行,掉,diào ,Vpt,
旅行,一直,yīzhí ,Adv,
旅行,最後,zuìhòu ,N,
健康及身體照護,病人,bìngrén ,N,
健康及身體照護,頭髮/髮,tóufă/fă ,N,
健康及身體照護,手指(頭)/指頭,shŏuzhĭ(tou)/zhĭtou,N,
健康及身體照護,肚(子),dù(zi) ,N,
健康及身體照護,臉,liăn ,N,
健康及身體照護,心,xīn ,N,
健康及身體照護,健康,jiànkāng ,Vs / N,
健康及身體照護,渴,kě ,Vs,
健康及身體照護,舒服(˙ㄈㄨ),shūfu,Vs,
健康及身體照護,眼鏡,yănjìng ,N,
購物,賣,mài ,V,
購物,付,fù ,V,
購物,希望,xīwàng ,Vst,
購物,書店,shūdiàn ,N,
購物,商店,shāngdiàn ,N,
購物,市場,shìchăng ,N,
購物,超級市場/超市,chāojíshìchăng/chāoshì ,N,
購物,信用卡,xìnyòngkă ,N,
購物,重要,zhòngyào ,Vs,
購物,顏色,yánsè ,N,
購物,黃色,huángsè ,N,
購物,白色,báisè ,N,
購物,手錶/手表/錶/表,shŏubiăo/shŏubiăo/biăo/biăo,N,
購物,襪(子),wà(zi) ,N,
購物,雙,shuāng ,M,
購物,裙(子),qún(zi) ,N,
購物,褲(子),kù(zi) ,N,
購物,大衣,dàyī ,N,
購物,帽(子),mào(zi) ,N,
購物,皮包,píbāo ,N,
購物,外套,wàitào ,N,
購物,小心,xiăoxīn ,Vs,
購物,比較/較,bĭjiào/jiào,Adv,
購物,差不多,chabùduō ,Vs / Adv,
購物,戴,dài ,V,
購物,試,shì ,V,
購物,輕,qīng ,Vs,
購物,重,zhòng ,Vs,
購物,樣子,yàngzi,N,
購物,特別,tèbié ,Vs,
購物,簡單,jiăndān ,Vs,
購物,其他/其它,qítā,Det,
購物,聲音/聲,shēngyīn ,N,
購物,好像,hăoxiàng ,Adv,
購物,奇怪,qíguài ,Vs,
飲食,三明治,sānmíngzhì ,N,
飲食,漢堡,hànbăo ,N,
飲食,蘋果,píngguŏ ,N,
飲食,西瓜,xīguā ,N,
飲食,啤酒,píjiŭ,N,
飲食,紅茶,hóngchá ,N,
飲食,點心,diănxīn ,N,
飲食,冰淇淋,bīngqílín ,N,
飲食,青菜,qīngcài ,N,
飲食,糖,táng ,N,
飲食,叉(子),chā(zi),N,
飲食,刀(子),dāo(zi),N,
飲食,湯匙,tāngchí ,N,
飲食,盤/盤(子),pán(zi) ,M / N,
飲食,片,piàn ,M,
飲食,瓶/瓶(子),píng(zi),M / N,
飲食,支,zhī ,M,
飲食,份,fèn ,M,
飲食,道,dào ,M,
飲食,一半/一半兒,yībàn/yībànr,Det,
飲食,味道,wèidào ,N,
飲食,酸,suān ,Vs,
飲食,苦,kŭ,Vs,
飲食,鹹,xián ,Vs,
飲食,辣,là ,Vs,
飲食,香,xiāng ,Vs,
飲食,條,tiáo ,M,
飲食,種,zhŏng ,M,
飲食,包,bāo ,M,
飲食,全部,quánbù ,Det,
飲食,所有,suŏyŏu ,Det,
飲食,需要,xūyào ,Vst,
飲食,烤,kăo ,V,
其他,過,guò ,V,
其他,但是/但,dànshì/dàn,Conj,
其他,或是,huòshì ,Conj,
其他,要是,yàoshì ,Conj,
其他,把,bă ,Ptc,
其他,被,bèi ,Ptc,
其他,讓,ràng ,Ptc,
其他,雖然,suīrán ,Conj,
其他,那麼,nàme,Adv,
其他,這麼,zhème,Adv,
其他,本來,běnlái ,Adv,
其他,啦,la,Ptc,
其他,呀,yā ,Ptc,
其他,以為,yĭwéi ,V,
其他,有的,yŏude ,Det,
其他,替,tì ,Prep,
其他,一下(子)/一下子兒,yīxià(zi)/yīxiàzir,N,
其他,不過,bùguò ,Adv / Conj,
其他,地,de,Ptc,
