"任務領域
Context","詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",
教育,加上,jiāshàng ,V,
教育,減,jiăn ,Vst,
教育,乘,chéng ,V,
教育,除,chú ,Prep / Vst / V,
教育,國小,guóxiăo ,N,
教育,中學,zhōngxué ,N,
教育,學院,xuéyuàn ,N,
教育,大學生,dàxuéshēng ,N,
教育,教授,jiàoshòu ,N,
教育,放假,fàngjià,V-sep,
教育,春假,chūnjià ,N,
教育,暑假,shŭjià ,N,
教育,寒假,hánjià ,N,
教育,假,jià ,N,
教育,畢業,bìyè ,Vp-sep,
教育,學期,xuéqí ,N,
教育,服務,fúwù ,V,
教育,室友,shìyŏu,N,
教育,操場,cāochăng ,N,
教育,校園,xiàoyuán ,N,
教育,位子,wèizi ,N,
教育,書桌,shūzhuō ,N,
教育,書包,shūbāo,N,
教育,書架,shūjià ,N,
教育,本子,běnzi,N,
教育,尺,chĭ,N,
教育,討論,tăolùn ,V,
教育,同意,tóngyì ,Vst,
教育,了解/瞭解,liăojiě ,Vst,
教育,無聊,wúliáo ,Vs,
教育,有趣,yŏuqù ,Vs,
教育,有意思(˙ㄙ),yŏuyìsi,Vs,
教育,原因,yuányīn ,N,
教育,遍,biàn ,M,
教育,改,găi ,V,
教育,忘記,wàngjì ,Vpt,
教育,程度,chéngdù ,N,
教育,趕快,gănkuài ,Adv,
教育,以上,yĭshàng ,N,
教育,以下,yĭxià ,N,
教育,意見,yìjiàn ,N,
教育,用功,yònggōng ,Vs,
教育,研究,yánjiù ,N / V,
教育,教育,jiàoyù ,N / V,
教育,選擇,xuănzé ,N / V,
教育,建議,jiànyì ,N / V,
教育,知識,zhīshì ,N,
房屋與家庭、環境,座,zuò ,M,
房屋與家庭、環境,臥室,wòshì ,N,
房屋與家庭、環境,臥房,wòfáng ,N,
房屋與家庭、環境,浴室,yùshì ,N,
房屋與家庭、環境,院(子),yuàn(zi),N,
房屋與家庭、環境,書房,shūfáng ,N,
房屋與家庭、環境,洗衣機,xĭyījī ,N,
房屋與家庭、環境,餐桌,cānzhuō,N,
房屋與家庭、環境,打開,dăkāi ,Vp,
房屋與家庭、環境,箱/箱(子),xiāng /xiāng(zi),M / N,
房屋與家庭、環境,層,céng ,M,
房屋與家庭、環境,櫃(子),guì(zi) ,N,
房屋與家庭、環境,大門,dàmén ,N,
房屋與家庭、環境,鄰居,línjū ,N,
房屋與家庭、環境,熱鬧(˙ㄋㄠ),rènao ,Vs,
房屋與家庭、環境,吵,chăo ,Vs,
房屋與家庭、環境,亂,luàn,Vs,
房屋與家庭、環境,房東,fángdōng ,N,
房屋與家庭、環境,房屋,fángwū ,N,
房屋與家庭、環境,搬家,bānjiā ,V-sep,
房屋與家庭、環境,開水,kāishuĭ,N,
房屋與家庭、環境,鄉下,xiāngxià ,N,
房屋與家庭、環境,傘,săn,N,
房屋與家庭、環境,朵,duŏ,M,
房屋與家庭、環境,蚊(子),wén(zi),N,
房屋與家庭、環境,自然,zìrán ,Vs,
房屋與家庭、環境,月亮,yuèliàng ,N,
房屋與家庭、環境,星星,xīngxing,N,
房屋與家庭、環境,環境,huánjìng ,N,
房屋與家庭、環境,晴天,qíngtiān ,N,
房屋與家庭、環境,暖和,nuănhuo ,Vs,
房屋與家庭、環境,涼快,liángkuài ,Vs,
房屋與家庭、環境,涼,liáng,Vs,
房屋與家庭、環境,乾,gān ,Vp,
房屋與家庭、環境,濕/溼 ,shī ,Vs,
房屋與家庭、環境,度,dù ,M,
房屋與家庭、環境,颱風,táifēng ,N,
房屋與家庭、環境,季節,jìjié ,N,
房屋與家庭、環境,環保,huánbăo ,N,
房屋與家庭、環境,垃圾,lèsè ,N,
房屋與家庭、環境,汙染,wūrăn,V,
房屋與家庭、環境,底,dĭ,N,
房屋與家庭、環境,底下(˙ㄒㄧㄚ),dĭxia ,N,
房屋與家庭、環境,內,nèi ,N,
房屋與家庭、環境,深,shēn ,Vs,
房屋與家庭、環境,淺,qiăn ,Vs,
日常生活,發生,fāshēng ,Vpt,
日常生活,照顧,zhàogù ,V,
日常生活,生活,shēnghuó ,N,
日常生活,日記,rìjì ,N,
日常生活,流,liú ,V,
日常生活,流汗,liúhàn ,V-sep,
日常生活,夢,mèng ,N,
日常生活,枕頭(˙ㄊㄡ),zhěntou ,N,
日常生活,鬧鐘,nàozhōng ,N,
日常生活,拖鞋,tuōxié ,N,
日常生活,毛巾,máojīn ,N,
日常生活,刷(子) / 刷,shuā(zi)/shuā ,N / V,
日常生活,肥皂,féizào ,N,
日常生活,牙膏,yágāo ,N,
日常生活,衛生紙,wèishēngzhĭ ,N,
日常生活,籃(子),lán(zi) ,N,
閒暇時間、娛樂,假日,jiàrì ,N,
閒暇時間、娛樂,結束,jiéshù ,Vp,
閒暇時間、娛樂,完,wán ,Vp,
閒暇時間、娛樂,散步,sànbù ,V-sep,
閒暇時間、娛樂,慢跑,mànpăo ,Vi,
閒暇時間、娛樂,野餐,yěcān ,Vi,
閒暇時間、娛樂,爬,pá ,Vi,
閒暇時間、娛樂,拍,pāi ,V,
閒暇時間、娛樂,抓,zhuā ,V,
閒暇時間、娛樂,座位,zuòwèi ,N,
閒暇時間、娛樂,新聞,xīnwén ,N,
閒暇時間、娛樂,體育,tĭyù ,N,
閒暇時間、娛樂,經常,jīngcháng ,Adv,
閒暇時間、娛樂,雜誌,zázhì ,N,
閒暇時間、娛樂,美術,měishù ,N,
閒暇時間、娛樂,畫家,huàjiā,N,
閒暇時間、娛樂,興趣,xìngqù ,N,
閒暇時間、娛樂,收,shōu ,V,
閒暇時間、娛樂,談,tán ,V,
閒暇時間、娛樂,聊,liáo ,V,
閒暇時間、娛樂,遲到,chídào ,Vp,
閒暇時間、娛樂,樂器,yuèqì ,N,
閒暇時間、娛樂,吉他,jítā ,N,
閒暇時間、娛樂,可怕,kěpà ,Vs,
閒暇時間、娛樂,輕鬆,qīngsōng  ,Vs,
閒暇時間、娛樂,情形,qíngxíng ,N,
閒暇時間、娛樂,消息,xiāoxí ,N,
閒暇時間、娛樂,看起來,kànqĭlái,Adv,
閒暇時間、娛樂,舞,wŭ ,N,
閒暇時間、娛樂,游,yóu ,Vi,
閒暇時間、娛樂,游泳池,yóuyŏngchí,N,
閒暇時間、娛樂,遊戲,yóuxì ,N / Vi,
閒暇時間、娛樂,茶館/茶館兒,cháguăn/cháguănr,N,
閒暇時間、娛樂,門票,ménpiào ,N,
與他人的關係,陪,péi ,V,
與他人的關係,利用,lìyòng ,V,
與他人的關係,好處,hăochù ,N,
與他人的關係,壞處,huàichù ,N,
與他人的關係,目的,mùdì ,N,
與他人的關係,要求,yāoqiú ,N / V,
與他人的關係,合作,hézuò ,Vs,
與他人的關係,主人,zhǔrén ,N,
與他人的關係,請客,qĭngkè ,V-sep,
與他人的關係,約,yuē ,V,
與他人的關係,約會,yuēhuì ,N / Vi,
與他人的關係,派對,pàiduì,N,
與他人的關係,祝,zhù,V,
與他人的關係,留,liú,V,
與他人的關係,封,fēng,M,
與他人的關係,信箱,xìnxiāng ,N,
與他人的關係,郵票,yóupiào,N,
與他人的關係,回信,huíxìn ,V-sep,
與他人的關係,郵件,yóujiàn ,N,
與他人的關係,弄,nòng ,V,
與他人的關係,放心,fàngxīn ,Vs-sep,
與他人的關係,偷,tōu ,V,
與他人的關係,滿,măn ,Vp,
與他人的關係,丟,diū ,V,
與他人的關係,換,huàn ,V,
與他人的關係,一塊/一塊兒,yīkuài/yīkuàir,Adv,
與他人的關係,同時,tóngshí ,N,
與他人的關係,保護,băohù ,V,
與他人的關係,出門,chūmén ,V-sep,
與他人的關係,現代,xiàndài ,N / Vs,
與他人的關係,傳統,chuántŏng ,Vs,
與他人的關係,除夕,chúxì ,N,
與他人的關係,春節,chūnjié ,N,
與他人的關係,節日,jiérì ,N,
與他人的關係,帶來,dàilái ,V,
與他人的關係,當中,dāngzhōng ,N,
與他人的關係,法律,fălǜ,N,
與他人的關係,方面,fāngmiàn ,N,
與他人的關係,開玩笑,kāiwánxiào ,V-sep,
與他人的關係,可惜,kěxí ,Vs,
與他人的關係,老太太(˙ㄊㄞ),lăotàitai ,N,
與他人的關係,有名,yŏumíng ,Vs,
與他人的關係,自由,zìyóu ,N / Vs,
與他人的關係,社會,shèhuì ,N,
旅行,時差,shíchā,N,
旅行,市區,shìqū ,N,
旅行,溫泉,wēnquán ,N,
旅行,公路,gōnglù ,N,
旅行,速度,sùdù ,N,
旅行,到處,dàochù ,Adv,
旅行,地點,dìdiăn ,N,
旅行,巴士,bāshì ,N,
旅行,加油,jiāyóu ,Vi,
旅行,摩托車/機車,mótuōchē/jīchē,N,
旅行,船/船兒,chuán/chuánr,N,
旅行,地鐵,dìtiě ,N,
旅行,捷運,jiéyùn,N,
旅行,停車場,tíngchēchăng ,N,
旅行,月台,yuètái ,N,
旅行,搭,dā ,V,
旅行,飛,fēi ,Vi,
旅行,下,xià ,V,
旅行,上,shàng ,V,
旅行,這些,zhèxiē ,Det,
旅行,那些,nàxiē ,Det,
旅行,東方,dōngfāng ,N,
旅行,非洲,fēizhōu,N,
旅行,美洲,měizhōu,N,
旅行,歐洲,ōuzhōu,N,
旅行,亞洲,yàzhōu,N,
旅行,大陸,dàlù ,N,
旅行,動,dòng ,Vp,
旅行,起,qĭ,Ptc,
旅行,停,tíng ,Vp,
旅行,中心,zhōngxīn ,N,
旅行,簽證,qiānzhèng ,N,
旅行,行李,xínglĭ,N,
旅行,背包,bēibāo ,N,
旅行,鎖,suŏ ,N / V,
旅行,入口,rùkŏu,N,
旅行,出口,chūkŏu ,N,
旅行,油,yóu ,N,
旅行,鑰匙,yàoshi ,N,
旅行,方向,fāngxiàng ,N,
旅行,交通,jiāotōng ,N,
旅行,標準,biāozhŭn ,N / Vs,
旅行,拍照,pāizhào,V-sep,
健康及身體照護,腿,tuĭ,N,
健康及身體照護,背,bèi ,N,
健康及身體照護,脖(子),bó(zi) ,N,
健康及身體照護,汗,hàn ,N,
健康及身體照護,臉色,liănsè ,N,
健康及身體照護,救護車,jiùhùchē,N,
健康及身體照護,咳嗽,késòu ,Vi,
健康及身體照護,發燒,fāshāo ,Vp-sep,
健康及身體照護,頭痛,tóutòng  ,Vs,
健康及身體照護,疼,téng ,Vs,
健康及身體照護,保險,băoxiăn ,N,
健康及身體照護,掛號,guàhào ,V-sep,
健康及身體照護,牙刷,yáshuā ,N,
健康及身體照護,藥房,yàofáng ,N,
健康及身體照護,救命,jiùmìng,V-sep,
健康及身體照護,影響,yĭngxiăng ,N / V,
健康及身體照護,感覺,gănjué ,N / Vst,
健康及身體照護,精神,jīngshén ,N,
健康及身體照護,正常,zhèngcháng ,Vs,
購物,花,huā ,V,
購物,有錢,yŏuqián ,Vs,
購物,生意,shēngyì ,N,
購物,商人,shāngrén ,N,
購物,老闆娘/老板娘,lăobănniáng,N,
購物,店員,diànyuán ,N,
購物,訂,dìng ,V,
購物,訂位,dìngwèi ,V-sep,
購物,得到,dédào ,Vpt,
購物,困難,kùnnán ,N / Vs,
購物,百貨公司,băihuògōngsī,N,
購物,夜市,yèshì ,N,
購物,逛,guàng ,V,
購物,逛街,guàngjiē ,V-sep,
購物,排隊,páiduì  ,V-sep,
購物,客滿,kèmăn ,Vp,
購物,刷卡,shuākă ,V-sep,
購物,提,tí,V,
購物,流行,liúxíng ,Vs,
購物,藍色,lánsè ,N,
購物,綠色,lǜsè ,N,
購物,紅色,hóngsè ,N,
購物,黑色,hēisè ,N,
購物,毛衣,máoyī ,N,
購物,雨衣,yŭyī ,N,
購物,內衣,nèiyī ,N,
購物,上衣,shàngyī ,N,
購物,皮鞋,píxié ,N,
購物,手套,shŏutào,N,
購物,口袋,kŏudài ,N,
購物,小費,xiăofèi ,N,
購物,打折,dăzhé ,V-sep,
購物,零錢,língqián ,N,
購物,零用錢,língyòngqián ,N,
購物,存,cún ,V,
購物,毛,máo ,M,
購物,高級,gāojí ,Vs,
購物,一般,yībān ,Vs,
購物,合適,héshì ,Vs,
購物,適合,shìhé ,Vst,
購物,圓,yuán ,Vs,
購物,光,guāng ,Vp,
購物,死,sĭ,Vp,
購物,髒,zāng ,Vs,
購物,破,pò,Vp,
購物,袋,dài ,M,
購物,套,tào ,M,
飲食,沙拉,shālā ,N,
飲食,牛排,niúpái ,N,
飲食,海鮮,hăixiān  ,N,
飲食,火腿,huŏtuĭ ,N,
飲食,熱狗,règŏu,N,
飲食,饅頭,mántou ,N,
飲食,米,mĭ,N,
飲食,豆腐(˙ㄈㄨ),dòufu,N,
飲食,橘(子),jú(zi ),N,
飲食,葡萄(˙ㄊㄠ),pútao ,N,
飲食,芒果,mángguŏ ,N,
飲食,烏龍茶,wūlóngchá ,N,
飲食,豆漿,dòujiāng ,N,
飲食,可樂,kělè,N,
飲食,奶茶,năichá ,N,
飲食,汽水,qìshuĭ,N,
飲食,冰塊/冰塊兒,bīngkuài/bīngkuàir,N,
飲食,甜點,tiándiăn ,N,
飲食,餅乾,bĭnggān ,N,
飲食,鹽,yán ,N,
飲食,味/味兒,wèi/wèir,N,
飲食,聞,wén ,V,
飲食,臭,chòu ,Vs,
飲食,口,kŏu ,M,
飲食,罐,guàn ,M,
飲食,顆,kē ,M,
飲食,任何,rènhé ,Det,
飲食,許多,xǔduō ,Det,
飲食,新鮮(˙ㄒㄧㄢ),xīnxian ,Vs,
飲食,熟,shóu,Vs,
飲食,炒,chăo ,V,
飲食,炸,zhá ,V,
飲食,嚐/嘗,cháng ,V,
飲食,裝,zhuāng ,V,
其他,不用,bùyòng ,Adv,
其他,不但,bùdàn ,Conj,
其他,不必,bùbì ,Vaux,
其他,不得了,bùdéliăo ,Vs,
其他,不管,bùguăn ,Conj,
其他,只好,zhĭhăo ,Adv,
其他,或,huò ,Conj,
其他,可能,kěnéng ,N,
其他,而且,érqiě ,Conj,
其他,原來,yuánlái ,Adv,
其他,也許,yěxŭ,Adv,
其他,必須,bìxū ,Adv,
其他,多麼,duōme ,Adv,
其他,這樣,zhèyàng,Vs,
其他,那樣,nàyàng,Adv / Vs,
其他,等/等等,děng/děngděng,Ptc,
其他,別的,biéde,Det,
其他,除了,chúle ,Prep,
其他,從來,cónglái ,Adv,
其他,大概,dàgài ,Adv,
其他,還好,háihăo  ,Adv,
其他,極,jí ,Adv,
其他,接著,jiēzhe ,Adv,
其他,結果,jiéguŏ ,Conj,
其他,立刻,lìkè ,Adv,
其他,沒想到,méixiăngdào ,,
其他,其實,qíshí ,Adv,
其他,其中,qízhōng ,Det,
其他,完全,wánquán ,Adv,
其他,相當,xiāngdāng ,Adv,
其他,一切,yīqiè,Det,
其他,已,yĭ ,Adv,
其他,尤其,yóuqí ,Adv,
其他,越,yuè ,Adv,
其他,整,zhěng ,Det,
其他,正,zhèng ,Adv,
其他,只要,zhĭyào ,Conj,
其他,最好,zuìhăo ,Adv,
其他,同樣,tóngyàng ,Adv / Vs-attr,
其他,空,kōng ,Vs,
其他,空,kòng ,Vs,
其他,連,lián ,Conj / Vst,
其他,倍,bèi ,N,
其他,包括,bāokuò ,Vst,
其他,步,bù ,M,
其他,當時,dāngshí ,N,
其他,等到,děngdào ,Prep,
其他,煩,fán ,Vs,
其他,剛好,gānghăo ,Vs,
其他,或者,huòzhě ,Conj,
其他,哇,wā ,Ptc,
其他,需,xū ,Vst,
其他,須,xū ,Adv,
其他,直接,zhíjiē ,Vs,
其他,總,zŏng ,Adv,
其他,泡,pào ,V,
其他,且,qiě ,Conj,
其他,比方,bĭfāng ,N,
其他,比方說,bĭfāngshūo,Vst,
其他,傳,chuán ,V,
其他,另,lìng ,Det,
其他,另外,lìngwài ,Conj / Det,
其他,左右,zuŏyòu ,N / V,
其他,當,dāng ,Prep,
其他,類,lèi ,M,
其他,樣,yàng ,M,
