"詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",,
補課,bŭkè ,V-sep,,
不良,bùliáng,Vs,,
不平,bùpíng ,Vs,,
不然,bùrán ,Conj,,
不如,bùrú ,Vst,,
補習,bŭxí ,V-sep,,
補習班,bŭxíbān,N,,
不許,bùxŭ ,Adv,,
不宜,bùyí ,Vs,,
不由得,bùyóude ,Adv,,
部長,bùzhăng ,N,,
不止,bùzhĭ,Vs-pred,,
補助,bŭzhù ,N / V,,
踩,căi ,V,,
採,căi ,V,,
財產,cáichăn ,N,,
財富,cáifù ,N,,
採購,căigòu ,V,,
才能,cáinéng ,N,,
裁判,cáipàn ,N,,
彩色,căisè ,Vs-attr,,
裁員,cáiyuán ,Vpt,,
蠶,cán ,N,,
慘,căn ,Vs,,
藏,cáng ,V,,
倉庫,cāngkù ,N,,
慚愧,cánkuì ,Vs,,
參與,cānyù ,V,,
操心,cāoxīn ,Vs,,
操作,cāozuò ,V,,
冊,cè ,M,,
測量,cèliáng ,V,,
策略,cèlüè ,N,,
測試,cèshì ,V,,
測驗,cèyàn ,N / V,,
差,chā,N,,
插,chā ,V,,
差錯,chācuò ,N,,
插花,chāhuā ,Vi,,
茶會,cháhuì ,N,,
拆,chāi ,V,,
差距,chājù ,N,,
產,chăn ,V,,
長處,chángchù ,N,,
場地,chăngdì ,N,,
長度,chángdù ,N,,
長方形,chángfāngxíng ,N,,
場合,chănghé ,N,,
長久,chángjiŭ ,Vs,,
廠商,chăngshāng ,N,,
嘗試/嚐試,chángshì ,N,,
常識,chángshì ,N,,
場所,chăngsuŏ ,N,,
長途,chángtú ,Vs-attr,,
產量,chănliàng ,N,,
產業,chănyè ,N,,
朝,cháo ,Prep,,
抄,chāo ,V,,
超出,chāochū ,Vpt,,
潮流,cháoliú ,N,,
吵鬧,chăonào ,Vi,,
鈔票,chāopiào ,N,,
超人,chāorén ,N,,
潮溼/潮濕,cháoshī ,Vs,,
超越,chāoyuè ,V,,
超重,chāozhòng ,Vp,,
插圖,chātú ,N,,
茶葉,cháyè ,N,,
扯,chě,V,,
澈底/徹底,chèdĭ,Vs,,
沉/沈,chén ,Vp,,
成,chéng ,M / Vpt,,
稱,chēng ,V,,
撐,chēng ,V,,
成本,chéngběn ,N,,
成分/成份,chéngfèn ,N,,
成交,chéngjiāo ,Vp,,
乘客,chéngkè ,N,,
誠懇,chéngkěn ,Vs,,
成立,chénglì ,Vpt,,
成人,chéngrén,N,,
成天,chéngtiān ,Adv,,
成為,chéngwéi ,Vpt,,
呈現,chéngxiàn ,Vpt,,
程序,chéngxù ,N,,
誠意,chéngyì ,N,,
成語,chéngyŭ ,N,,
陳列,chénliè ,V,,
車票,chēpiào ,N,,
遲,chí ,Vp,,
翅膀/翅,chìbăng/chì,N,,
尺寸,chĭcùn ,N,,
吃虧,chīkuī ,Vs,,
持續,chíxù ,Vaux,,
遲早,chízăo ,Adv,,
重,chóng ,Adv,,
沖,chōng ,V,,
衝,chōng ,Vi,,
崇拜,chóngbài ,Vst,,
充分/充份,chōngfèn ,Vs,,
崇高,chónggāo ,Vs,,
充滿,chōngmăn ,Vpt,,
衝突,chōngtú ,N,,
充足,chōngzú ,Vs,,
愁,chóu ,Vs / N,,
抽屜,chōutì,N,,
處,chù ,M,,
處,chŭ ,V,,
出,chū ,Vst,,
初,chū ,Adv,,
傳播,chuánbò ,V,,
傳達,chuándá ,V,,
傳單,chuándān ,N,,
床,chuáng ,M,,
幢,chuáng ,M,,
闖,chuăng ,V,,
床單,chuángdān ,N,,
窗口,chuāngkŏu ,N,,
創新,chuàngxīn ,V,,
創作,chuàngzuò ,N /V,,
傳染,chuánrăn ,V,,
傳說,chuánshuō ,N / V,,
傳送,chuánsòng ,V,,
傳統,chuántŏng ,N,,
傳真,chuánzhēn ,V,,
初步,chūbù ,Adv / Vs-attr,,
出產,chūchăn  ,Vst,,
處處,chùchù ,Adv,,
儲存,chúcún ,V,,
處罰,chŭfá ,V,,
除非,chúfēi ,Conj,,
初級,chūjí ,Vs,,
出境,chūjìng ,Vp,,
出口,chūkŏu ,V /N,,
純,chún ,Vs,,
出色,chūsè ,Vs,,
出身,chūshēn ,Vpt,,
出事,chūshì ,Vp-sep,,
出售,chūshòu ,V,,
出席,chūxí ,V,,
儲蓄,chúxù ,Vi,,
出院,chūyuàn ,Vi,,
刺,cì ,V,,
詞典/辭典,cídiăn ,N,,
詞彙,cíhuì ,N,,
刺激,cìjī ,V,,
次數,cìshù ,N,,
此外,cĭwài ,Conj,,
辭職,cízhí ,Vi,,
從,cóng ,Adv,,
從此,cóngcĭ,Adv,,
從沒,cóngméi ,Adv,,
從事,cóngshì ,Vst,,
湊,còu ,V,,
粗,cū ,Vs,,
催,cuī ,V,,
促進,cùjìn ,V,,
存款,cúnkuăn ,N,,
搓,cuō ,V,,
錯過,cuòguò ,Vpt,,
措施,cuòshī ,N,,
錯字,cuòzì ,N,,
粗心,cūxīn ,Vs,,
打,dă ,M,,
大半,dàbàn ,Det,,
打扮,dăbàn ,Vi,,
打包,dăbāo ,V,,
大便,dàbiàn ,N,,
大膽,dàdăn ,Vs,,
達到,dádào ,Vpt,,
大地,dàdì ,N,,
大都,dàdōu ,Adv,,
打斷,dăduàn ,Vpt,,
大哥,dàgē ,N,,
待,dài,V / Vi,,
代,dài ,N / V,,
帶(子),dài(zi) ,N,,
代表,dàibiăo ,Vs,,
帶動,dàidòng ,V,,
大夫,dàifū,N,,
代溝,dàigōu ,N,,
待會/待會兒,dāihuì /dāihuìr,Adv,,
代價,dàijià ,N,,
貸款,dàikuăn ,N / V-sep,,
代理,dàilĭ ,V,,
帶路,dàilù ,Vi,,
待遇,dàiyù ,N,,
大街,dàjiē ,N,,
大力,dàlì ,Adv,,
大量,dàliàng ,Det,,
單,dān ,Adv,,
單(子),dān(zi) ,N,,
大腦,dànăo ,N,,
蛋白質,dànbáizhí ,N,,
擔保,dānbăo ,V,,
單調,dāndiào ,Vs,,
當,dàng ,Vst,,
擋,dăng ,V,,
檔案,dăngàn ,N,,
當初,dāngchū ,N,,
當選,dāngxuăn ,Vpt,,
當中,dāngzhōng ,N,,
膽量,dănliàng ,N,,
誕生,dànshēng ,Vp,,
單位,dānwèi ,N,,
耽誤,dānwù ,V,,
膽小,dănxiăo,Vs,,
到達,dàodá ,Vpt,,
道路,dàolù ,N,,
倒楣,dăoméi ,Vs,,
到期,dàoqí ,Vp,,
導演,dăoyăn ,V,,
導遊,dăoyóu ,N,,
大清早,dàqīngzăo ,N,,
打擾,dărăo ,V,,
大嫂,dàsăo ,N,,
打算,dăsuàn ,N,,
大腿,dàtuĭ ,N,,
大型,dàxíng ,Vs-attr,,
大意,dàyì ,Vs / N,,
大有,dàyŏu ,Vst,,
打招呼,dăzhāohū ,V-sep,,
打針,dăzhēn ,V-sep,,
大致,dàzhì ,Adv / Vs-attr,,
大眾,dàzhòng ,N,,
打字,dăzì ,V-sep,,
大自然,dàzìrán ,N,,
得分,défēn ,Vs-sep,,
得獎,déjiăng ,V-sep,,
得了,déle ,,,
登,dēng ,V,,
凳(子),dèng(zi) ,N,,
等不及,děngbùjí ,Vi,,
等級,děngjí ,N,,
登記,dēngjì ,Vp,,
登山,dēngshān ,V-sep,,
等於,děngyú ,Vst,,
得罪,dézuì ,Vpt,,
抵,dĭ,V,,
遞,dì ,V,,
滴,dī ,M / V,,
墊,diàn ,V,,
電報,diànbào ,N,,
電動,diàndòng ,Vs-attr,,
典禮,diănlĭ ,N,,
電器,diànqì ,N,,
點燃,diănrán ,V,,
電扇/電風扇,diànshàn/diànfēngshàn,N,,
電視劇,diànshìjù ,N,,
電視台/電視臺,diànshìtái,N,,
電台/電臺,diàntái,N,,
點頭,diăntóu ,V-sep,,
電線,diànxiàn ,N,,
典型,diănxíng ,Vs / N,,
電子,diànzĭ,N,,
吊,diào ,V,,
釣,diào ,V,,
雕刻,diāokè  ,N / V,,
釣魚,diàoyú ,V-sep,,
低潮,dīcháo,N,,
跌,dié ,Vp,,
跌倒,diédăo ,Vp,,
抵抗,dĭkàng ,V,,
地面,dìmiàn ,N,,
頂,dĭng ,M,,
丁,dīng ,N,,
盯,dīng ,V,,
訂購,dìnggòu ,V,,
訂婚,dìnghūn ,V-sep,,
定期,dìngqí ,Adv / Vs-attr,,
的確,díquè ,Adv,,
地毯,dìtăn ,N,,
丟臉,diūliăn ,Vs-sep,,
丟人,diūrén ,Vs,,
地下,dìxià ,Vs-attr,,
地震,dìzhèn ,Vp,,
洞,dòng ,N,,
凍,dòng ,Vs,,
棟,dòng ,M,,
動不動,dòngbùdòng ,Adv,,
動詞,dòngcí ,N,,
懂得,dŏngde ,Vst,,
冬季,dōngjì ,N,,
動人,dòngrén ,Vs,,
動身,dòngshēn ,Vi,,
動手,dòngshŏu ,Vi,,
動作,dòngzuò ,N,,
鬥爭,dòuzhēng ,Vi,,
毒,dú ,N / Vs,,
度,dù ,V,,
賭,dŭ ,V,,
斷,duàn ,Vp,,
端,duān ,V,,
鍛鍊,duànliàn ,V,,
度過/渡過,dùguò ,V,,
隊,duì ,M,,
堆,duī ,V,,
對岸,duìàn ,N,,
對策,duìcè ,N,,
對待,duìdài ,V,,
對付,duìfù ,V,,
對抗,duìkàng ,V,,
對立,duìlì ,Vs,,
對於,duìyú ,Prep,,
隊員,duìyuán ,N,,
獨立,dúlì ,Vs,,
頓,dùn ,M,,
噸,dùn ,M,,
蹲,dūn ,Vi,,
躲,duŏ,Vi,,
奪,duó ,V,,
多半/多半兒,duōbàn/duōbànr,Det,,
多多,duōduō ,Adv,,
多少,duōshăo ,Adv,,
多數,duōshù ,Det,,
多謝,duōxiè ,Vst,,
獨自,dúzì ,Adv,,
鵝,é,N,,
惡劣,èliè,Vs,,
而已,éryĭ,Ptc,,
罰,fá ,V,,
發,fā ,Vp,,
發動,fādòng ,V,,
發抖,fādŏu ,Vi,,
反,făn ,V / Vst,,
番,fān ,M,,
翻,fān ,V,,
犯錯,fàncuò ,V-sep,,
反對,fănduì ,Vst,,
犯法,fànfă ,V-sep,,
反覆,fănfù ,Adv,,
防,fáng ,V,,
方,fāng ,Vs-attr,,
方案,fāngàn ,N,,
放大,fàngdà ,V,,
放棄,fàngqì ,V,,
防守,fángshŏu ,V,,
放手,fàngshŏu ,Vi,,
放鬆,fàngsōng ,Vs,,
放學,fàngxué ,Vp-sep,,
防止,fángzhĭ ,V,,
返回,fănhuí ,V,,
反抗,fănkàng ,V,,
繁忙,fánmáng ,Vs,,
反面,fănmiàn ,N,,
煩惱,fánnăo ,N,,
犯人,fànrén ,N,,
繁榮,fánróng ,Vs,,
反問,fănwèn ,V,,
反映,fănyìng ,V,,
反應,fănyìng ,Vi,,
反正,fănzhèng ,Adv,,
繁殖,fánzhí ,V,,
犯罪,fànzuì ,V-sep,,
發起,fāqĭ ,Vp,,
發射,fāshè ,V,,
髮型,făxíng ,N,,
發行,fāxíng ,V,,
發言,fāyán ,V-sep,,
發炎,fāyán ,Vp,,
發揚,fāyáng ,V,,
發音,fāyīn ,Vi / N,,
法院,făyuàn ,N,,
發展,fāzhăn ,V / N,,
法子,fázi ,N,,
肥,féi ,Vs,,
肺,fèi ,N,,
費,fèi ,Vst,,
非法,fēifă ,Vs-attr,,
廢話,fèihuà ,N,,
肥胖,féipàng ,Vs,,
廢氣,fèiqì ,N,,
廢水,fèishuĭ,N,,
廢物,fèiwù ,N,,
份/份兒,fèn/fènr,N,,
粉筆,fěnbĭ ,N,,
分別,fēnbié ,Adv / N /V,,
分布/分佈,fēnbù ,Vs,,
奮鬥,fèndòu ,Vi,,
紛紛,fēnfēn ,Adv,,
吩咐,fēnfù ,V,,
逢,féng ,Vst,,
縫,féng ,V,,
封,fēng ,V,,
瘋,fēng ,Vp,,
諷刺,fèngcì ,V,,
封建,fēngjiàn ,Vs-attr,,
瘋狂,fēngkuáng ,Vs,,
蜂蜜,fēngmì ,N,,
分工,fēngōng ,Vi,,
風氣,fēngqì ,N,,
風趣,fēngqù ,Vs,,
風險,fēngxiăn ,N,,
瘋子,fēngzi ,N,,
粉紅,fěnhóng ,Vs-attr,,
分明,fēnmíng ,Vs-pred / Adv,,
憤怒,fènnù ,Vs,,
分配,fēnpèi ,V,,
分散,fēnsàn ,Vs,,
分手,fēnshŏu ,Vp,,
分數,fēnshù ,N,,
分析,fēnxī ,N / V,,
分享,fēnxiăng ,V,,
否定,fŏudìng ,V,,
否認,fŏurèn ,V,,
幅,fú,M,,
扶,fú ,V,,
服,fú ,V / Vst,,
浮,fú ,Vi,,
付,fù ,M,,
赴,fù ,V,,
副,fù ,M,,
富,fù ,Vs-attr,,
輔導,fŭdăo ,V,,
符號,fúhào ,N,,
附加,fùjiā ,Vpt,,
婦女,fùnǚ ,N,,
夫妻,fūqī ,N,,
夫人,fūrén ,N,,
富裕,fùyù ,Vs,,
複雜,fùzá ,Vs,,
複製,fùzhì ,V,,
該,gāi ,Det,,
蓋(子),gài(zi),N,,
改革,găigé ,V,,
改造,găizào ,V,,
改正,găizhèng ,V,,
幹,gàn ,V,,
趕,găn ,Vs,,
肝,gān ,N,,
乾杯,gānbēi ,Vi,,
幹部,gànbù ,N,,
乾脆,gāncuì ,Vs,,
感到,găndào ,Vpt,,
感恩,gănēn ,Vs,,
鋼,gāng ,N,,
鋼筆,gāngbĭ,N,,
港幣,găngbì ,N,,
港口/港,găngkŏu/găng,N,,
感激,gănjī ,Vst,,
趕緊,gănjĭn ,Adv,,
幹嘛,gànma,Adv / Vi,,
感情,gănqíng ,N,,
感染,gănrăn ,Vpt,,
幹什麼,gànshénme ,,,
感受,gănshòu ,N / Vst,,
告,gào ,V,,
高潮,gāocháo ,N,,
告辭,gàocí ,Vi,,
高大,gāodà ,Vs,,
高度,gāodù ,N / Vs-attr,,
高峰,gāofēng ,N,,
高貴,gāoguì ,Vs,,
高明,gāomíng ,Vs,,
高手,gāoshŏu ,N,,
高原,gāoyuán ,N,,
隔,gé ,Vst / Prep,,
各,gè ,Adv,,
割,gē ,V,,
擱,gē ,V,,
個別,gèbié  ,Vs-attr,,
歌唱,gēchàng ,Vi,,
各行各業,gèhánggèyè ,N,,
歌劇,gējù ,N,,
革命,gémìng ,N,,
根本,gēnběn ,Adv / N,,
根據,gēnjù ,N,,
歌手,gēshŏu,N,,
個性,gèxìng ,N,,
各自,gèzì ,N,,
供,gōng ,V,,
公布/公佈,gōngbù ,V,,
工程,gōngchéng ,N,,
工夫,gōngfu ,N,,
公公,gōnggōng,N,,
工會,gōnghuì ,N,,
公開,gōngkāi ,Vs,,
公立,gōnglì ,Vs-attr,,
公平,gōngpíng ,Vs,,
工錢,gōngqián ,N,,
公式,gōngshì ,N,,
共同,gòngtóng ,Adv,,
供應,gōngyìng ,V,,
公用,gōngyòng ,Vs-attr,,
公元,gōngyuán ,N,,
工資,gōngzī ,N,,
構成,gòuchéng ,V,,
構造,gòuzào ,N,,
鼓,gŭ ,N,,
掛號信,guàhàoxìn ,N,,
怪,guài ,Adv,,
怪不得,guàibùde ,Adv,,
慣,guàn ,Vp / V,,
關,guān ,M,,
罐(子),guàn(zi) ,N,,
管道,guăndào ,N,,
官方,guānfāng ,N,,
廣,guăng ,Vs,,
光,guāng ,Adv / Vp,,
廣大,guăngdà ,Vs,,
廣泛,guăngfàn ,Vs,,
廣告,guănggào ,Vi,,
廣闊,guăngkuò ,Vs,,
光亮,guāngliàng ,Vs,,
光臨,guānglín ,V,,
光明,guāngmíng ,Vs,,
光榮,guāngróng ,Vs,,
光是,guāngshì ,Adv,,
觀光,guānguāng ,Vi / N,,
光線,guāngxiàn ,N,,
關鍵,guānjiàn ,N,,
冠軍,guànjūn ,N,,
慣例,guànlì ,N,,
關上,guānshàng ,V,,
罐頭,guàntou ,N,,
關於,guānyú ,Prep,,
官員,guānyuán ,N,,
管制,guănzhì ,V,,
瓜子,guāzĭ,N,,
孤單,gūdān ,Vs,,
古典,gŭdiăn ,Vs,,
固定,gùdìng ,Vs,,
跪,guì ,Vi,,
規定,guīdìng ,N / V,,
規畫/規劃,guīhuà ,N / V,,
規律,guīlǜ ,N,,
櫃臺/櫃台/櫃檯,guìtái ,N,,
規則,guīzé ,N / Vs,,
貴族,guìzú ,N,,
估計,gūjì ,V,,
鼓勵,gŭlì ,N / V,,
滾,gŭn ,Vi,,
裹,guŏ,V,,
過,guò ,Adv,,
鍋(子),guō(zi),N,,
過程,guòchéng ,N,,
過度,guòdù ,Vs,,
過渡,guòdù ,Vi,,
國會,guóhuì ,N,,
國籍,guójí ,N,,
國際,guójì ,N,,
國立,guòjié ,V-sep,,
過節,guólì ,Vs-attr,,
過濾,guòlǜ,V,,
過敏,guòmĭn ,Vs,,
國旗,guóqí ,N,,
過期,guòqí ,Vp,,
果然,guŏrán ,Adv,,
過世,guòshì ,Vp,,
國中,guózhōng ,N,,
骨頭/骨,gútou/gŭ,N,,
顧問,gùwèn ,N,,
鼓舞,gŭwŭ ,V,,
故鄉,gùxiāng ,N,,
姑丈,gūzhàng,N,,
鼓掌,gŭzhăng ,Vi,,
還不如,háibùrú ,Conj,,
害處,hàichù ,N,,
海關,hăiguān  ,N,,
海軍,hăijūn  ,N,,
海外,hăiwài  ,N,,
海峽,hăixiá  ,N,,
還有,háiyŏu  ,Conj,,
含,hán ,V / Vst,,
喊,hăn ,V,,
行業,hángyè ,N,,
寒冷,hánlěng  ,Vs,,
含量,hánliàng  ,N,,
耗,hào ,Vst,,
好,hăo ,Conj,,
好客,hàokè ,Vs,,
好奇,hàoqí ,Vs,,
毫無,háowú ,Vst,,
好在,hăozài ,Adv,,
號召,hàozhào ,V,,
合,hé ,Vi / Vs,,
何必,hébì ,Adv,,
合不來,hébùlái ,Vs,,
合成,héchéng ,Vst,,
合得來,hédelái ,Vs,,
合法,héfă ,Vs,,
合格,hégé ,Vp,,
和好,héhăo ,Vp,,
合乎,héhū ,Vst,,
嘿,hēi ,Ptc,,
黑暗,hēiàn ,Vs,,
黑夜,hēiyè ,N,,
何況,hékuàng ,Conj,,
合理,hélĭ ,Vs,,
河流,héliú ,N,,
恨,hèn ,N,,
橫,héng ,Vs-attr,,
痕跡,hénjī ,N,,
和平,hépíng ,Vs,,
和氣,héqì ,Vs,,
合算,hésuàn ,Vs,,
合約,héyuē ,N,,
猴(子),hóu(zi) ,N,,
後代,hòudài ,N,,
後方,hòufāng ,N,,
後果,hòuguŏ,N,,
後悔,hòuhuĭ ,Vs,,
喉嚨/喉,hóulóng/hóu ,N,,
後頭,hòutou ,N,,
後退,hòutuì ,Vi,,
後院,hòuyuàn ,N,,
戶,hù ,M,,
呼,hū ,V,,
鬍(子),hú(zi) ,N,,
划,huá ,V,,
滑,huá ,Vp / Vs,,
化,huà ,Vst / Vp,,
花草,huācăo ,N,,
花費,huāfèi ,N / V,,
壞蛋,huàidàn ,N,,
懷念,huáiniàn ,Vst,,
懷疑,huáiyí,Vst,,
懷孕,huáiyùn ,Vi,,
畫面,huàmiàn ,N,,
慌,huāng ,Vs,,
皇帝,huángdì ,N,,
黃豆,huángdòu ,N,,
黃昏,huánghūn ,N,,
緩和,huănhé ,V,,
歡呼,huānhū ,Vi,,
歡樂,huānlè ,Vs,,
緩慢,huănmàn ,Vs,,
歡喜,huānxĭ ,Vs,,
幻想,huànxiăng ,N / Vi,,
花盆,huāpén ,N,,
花瓶,huāpíng ,N,,
華僑,huáqiáo ,N,,
華人,huárén ,N,,
花色,huāsè ,N,,
花生,huāshēng ,N,,
化學,huàxué ,N,,
化妝,huàzhuāng ,Vi,,
化裝,huàzhuāng ,Vi,,
蝴蝶,húdié ,N,,
互動,hùdòng,N,,
灰,huī ,Vs-attr / N,,
揮,huī ,V,,
回電,huídiàn ,V-sep,,
回教/伊斯蘭教,Huíjiào /Yīsīlánjiào,N,,
匯款,huìkuăn ,V-sep,,
灰色,huīsè ,N,,
回收,huíshōu ,V,,
回頭,huítóu ,V-sep,,
灰心,huīxīn ,Vs,,
回憶,huíyì ,Vst / N,,
會員,huìyuán ,N,,
忽略,hūlüè ,Vst,,
混,hùn ,V,,
昏倒,hūndăo ,Vp,,
混合,hùnhé ,V,,
昏迷,hūnmí ,Vp,,
獲,huò ,Vst,,
禍,huò ,N,,
火柴,huŏchái ,N,,
獲得,huòdé ,Vpt,,
或多或少,huòduōhuòshăo ,Adv,,
活該,huógāi ,Vs,,
活力,huólì ,N,,
活潑,huópō ,Vs,,
貨物,huòwù ,N,,
活躍,huóyuè ,Vs,,
火災,huŏzāi ,N,,
忽視,hūshì ,Vst,,
戶外,hùwài ,N,,
呼吸,hūxī ,Vi,,
互助,hùzhù ,Vi,,
級,jí ,M,,
集,jí ,M / V,,
夾,jiá ,V,,
嫁,jià ,V,,
甲,jiă ,N/M,,
家電,jiādiàn ,N,,
加工,jiāgōng ,V-sep,,
建,jiàn ,V,,
箭,jiàn ,N,,
揀,jiăn ,V,,
撿,jiăn ,V,,
尖,jiān ,Vs,,
兼,jiān ,V,,
煎,jiān ,V,,
剪刀,jiăndāo ,N,,
堅定,jiāndìng ,Vs,,
降,jiàng ,Vp,,
江,jiāng ,N,,
將,jiāng ,Adv,,
降價,jiàngjià ,Vp-sep,,
獎金,jiăngjīn ,N,,
獎品,jiăngpĭn ,N,,
建國,jiànguó ,Vi,,
將要,jiāngyào ,Adv,,
漸漸/漸,jiànjiàn ,Adv,,
間接,jiànjiē ,Vs-attr,,
堅決,jiānjué ,Vs,,
鍵盤,jiànpán ,N,,
健全,jiànquán ,Vs,,
尖銳,jiānruì ,Vs,,
監視,jiānshì ,V,,
檢驗,jiănyàn ,V,,
監獄,jiānyù ,N,,
建築,jiànzhú ,N / V,,
較,jiào ,Prep,,
角,jiăo ,N,,
繳,jiăo ,V,,
澆,jiāo ,V,,
腳步,jiăobù ,N,,
交代,jiāodài ,V,,
叫喊,jiàohăn ,V,,
交換,jiāohuàn ,V,,
教會,jiàohuì ,N,,
交際,jiāojì ,Vi,,
角落,jiăoluò ,N,,
教授,jiàoshòu ,V,,
郊外,jiāowài ,N,,
交往,jiāowăng ,Vi,,
教學,jiàoxué ,Vi,,
教訓,jiàoxùn ,V,,
交易,jiāoyì ,N / Vi,,
假期,jiàqí ,N,,
加上,jiāshàng ,Conj,,
家事,jiāshì ,N,,
駕駛/駕,jiàshĭ/jià,N / V,,
加速,jiāsù ,V,,
加以,jiāyĭ,Adv,,
價值,jiàzhí ,Vst,,
基本上,jīběnshàng  ,Adv,,
疾病,jíbìng ,N,,
嫉妒/忌妒,jídù/jìdù ,Vst,,
結,jié ,N,,
屆,jiè ,M,,
解,jiě ,V,,
接,jiē ,V,,
解除,jiěchú ,V,,
解答,jiědá ,V,,
接待,jiēdài ,V,,
接到,jiēdào ,Vpt,,
街道,jiēdào ,N,,
階段,jiēduàn ,N,,
結構,jiégòu ,N,,
結果,jiéguŏ ,N / Vp-sep,,
結合,jiéhé ,Vpt,,
接見,jiējiàn ,V,,
接近,jiējìn ,V / Vs,,
結論,jiélùn ,N,,
節慶,jiéqìng ,N,,
節省,jiéshěng ,Vst,,
結算,jiésuàn ,Vi,,
街頭,jiētóu ,N,,
接下來,jiēxiàlái,Adv,,
界線,jièxiàn ,N,,
節約,jiéyuē ,Vst,,
結帳,jiézhàng ,Vi,,
截止,jiézhĭ ,Vp,,
戒指,jièzhĭ ,N,,
及格,jígé  ,Vp,,
機構,jīgòu  ,N,,
機關,jīguān  ,N,,
集合,jíhé ,Vi,,
幾乎,jīhū  ,Adv,,
即將,jíjiāng  ,Adv,,
計較,jìjiào  ,Vs,,
基金,jījīn  ,N,,
急忙,jímáng  ,Adv,,
寂寞,jímò  ,Vs,,
近,jìn,Vst,,
浸,jìn ,V,,
金額,jīné ,N,,
靜,jìng ,Vs,,
竟,jìng ,Adv,,
鏡(子),jìng(zi),N,,
敬愛,jìngài ,Vst,,
精彩/精采,jīngcăi,Vs,,
警告,jĭnggào  ,N / V,,
淨化,jìnghuà ,Vpt,,
經濟,jīngjì  ,N,,
