"任務領域
Context","詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",
旅行,下(面),xià(miàn) ,N,
旅行,外(面),wài(miàn),N,
旅行,外頭(˙ㄊㄡ),wàitou ,N,
旅行,前(面),qián(miàn),N,
旅行,後(面),hòu(miàn),N,
旅行,左(邊),zuŏ(biān),N,
旅行,右(邊),yòu(biān),N,
旅行,旁(邊),páng(biān),N,
旅行,裡/裏,lĭ,N,
旅行,中,zhōng ,N,
旅行,地方,dìfāng ,N,
旅行,附近,fùjìn ,N,
旅行,帶,dài ,V,
旅行,拿,ná ,V,
旅行,站,zhàn ,Vi,
旅行,快,kuài ,Vs,
旅行,慢,màn ,Vs,
旅行,計程車,jìchéngchē ,N,
旅行,火車,huŏchē ,N,
旅行,飛機,fēijī ,N,
旅行,輛,liàng ,M,
旅行,出,chū ,V,
旅行,進,jìn ,V,
旅行,外國,wàiguó ,N,
健康及身體照護,手,shŏu ,N,
健康及身體照護,腳,jiăo ,N,
健康及身體照護,身體,shēntĭ,N,
健康及身體照護,眼睛,yănjīng ,N,
健康及身體照護,鼻(子),bí(zi),N,
健康及身體照護,藥,yào ,N,
健康及身體照護,累,lèi ,Vs,
健康及身體照護,頭,tóu ,N,
健康及身體照護,耳朵,ěrduo,N,
健康及身體照護,感冒,gănmào ,Vp,
健康及身體照護,生病,shēngbìng ,Vp-sep,
健康及身體照護,餓,è ,Vs,
健康及身體照護,痛,tòng ,Vs,
健康及身體照護,嘴巴/嘴,zuĭba/zuĭ,N,
健康及身體照護,病,bìng ,N,
健康及身體照護,看病,kànbìng ,V-sep,
購物,元,yuán ,M,
購物,鞋(子),xié(zi),N,
購物,衣服/衣,yīfú/yī,N,
購物,比,bĭ,Prep,
購物,要,yào ,V / Vaux,
購物,長,cháng ,Vs,
購物,新,xīn ,Vs,
購物,一樣,yīyàng ,Vs,
購物,見,jiàn ,Vpt,
購物,看見,kànjiɑn,V,
購物,聽見,tīngjiàn ,Vpt,
購物,店,diàn ,N,
購物,短,duăn ,Vs,
購物,飽,băo ,Vs,
購物,舊,jiù ,Vs,
購物,像,xiàng ,Vst,
購物,一共/共,yīgòng /gòng,Adv,
飲食,夠,gòu ,Vs-pred,
飲食,筷(子),kuài(zi) ,N,
飲食,件,jiàn ,M,
飲食,杯,bēi ,M,
飲食,杯(子),bēi(zi) ,N,
飲食,菜,cài ,N,
飲食,肉,ròu ,N,
飲食,酒,jiŭ,N,
飲食,喝,hē ,V,
飲食,少,shăo ,Vs-pred,
飲食,多,duō ,Vs-pred / Adv,
飲食,小吃,xiăochī ,N,
飲食,牛奶,niúnăi ,N,
飲食,蛋,dàn ,N,
飲食,餃(子),jiăo(zi) ,N,
飲食,麵,miàn ,N,
飲食,湯,tāng ,N,
飲食,包子,bāozi ,N,
飲食,蛋糕,dàngāo ,N,
飲食,麵包,miànbāo ,N,
飲食,水果,shuĭguŏ ,N,
飲食,香蕉,xiāngjiāo ,N,
飲食,食物,shíwù ,N,
飲食,飲料,yĭnliào ,N,
飲食,果汁,guŏzhī ,N,
飲食,甜,tián ,Vs,
飲食,菜單,càidān ,N,
飲食,巧克力,qiăokèlì ,N,
飲食,碗,wăn ,N / M,
飲食,冰,bīng ,N,
其他,一起,yīqĭ,Adv,
其他,因為,yīnwèi ,Conj,
其他,和,hé ,Conj,
其他,所以,suŏyĭ,Conj,
其他,跟,gēn ,Conj,
其他,一定,yīdìng ,Adv,
其他,可能,kěnéng ,Vaux,
其他,邊/邊兒,biān/biānr ,N,
其他,別,bié ,Adv,
其他,馬上,măshàng ,Adv,
其他,然後,ránhòu ,Adv,
其他,得,děi,Vpt,
其他,著,zhe ,Ptc,
其他,有點/有一點/有一點兒,yŏudiăn/yŏuyīdiăn/yŏuyīdiănr ,Adv,
